player_id,team_id,of_def_flag,"Right Side(R), 8-16 ft.","Right Side(R), 16-24 ft.","Right Side(R), 24+ ft.","Left Side(L), 8-16 ft.","Left Side(L), 16-24 ft.","Left Side(L), 24+ ft.","Center(C), Less Than 8 ft.","Center(C), 8-16 ft.","Center(C), 16-24 ft.","Center(C), 24+ ft.","Right Side Center(RC), 16-24 ft.","Right Side Center(RC), 24+ ft.","Left Side Center(LC), 16-24 ft.","Left Side Center(LC), 24+ ft."
Chandler Parsons,Dallas Mavericks,of,6342.0,17363.0,6931.0,11292.0,7493.0,16533.0,3550.0,5884.0,12389.0,7192.0,14397.0,3321.0,5277.0,12227.0
Channing Frye,Orlando Magic,def,9273.0,17956.0,8159.0,12114.0,3611.0,4238.0,1121.0,775.0,5592.0,4013.0,4838.0,1416.0,1048.0,5814.0
Channing Frye,Orlando Magic,of,9159.0,18580.0,8987.0,13859.0,4670.0,4103.0,1517.0,913.0,6616.0,3540.0,4914.0,1422.0,1021.0,5799.0
Chris Paul,Los Angeles Clippers,def,10903.0,43724.0,10585.0,10374.0,9623.0,19820.0,3600.0,1606.0,9580.0,9530.0,16867.0,2948.0,1279.0,10348.0
Chris Paul,Los Angeles Clippers,of,10684.0,42422.0,10205.0,9885.0,9423.0,17726.0,3705.0,1799.0,10153.0,9409.0,16277.0,3371.0,1317.0,10509.0
Clint Capela,Houston Rockets,def,13414.0,20291.0,16214.0,28881.0,3982.0,1643.0,865.0,124.0,12260.0,4185.0,1401.0,792.0,79.0,11128.0
Clint Capela,Houston Rockets,of,14472.0,23082.0,18257.0,33430.0,4855.0,1980.0,966.0,53.0,14164.0,4975.0,1831.0,1320.0,68.0,12862.0
Cody Zeller,Charlotte Hornets,def,15928.0,21686.0,17719.0,27559.0,5152.0,2667.0,1308.0,363.0,10722.0,6932.0,3073.0,818.0,209.0,13779.0
Cody Zeller,Charlotte Hornets,of,16254.0,21004.0,17320.0,27011.0,5259.0,2870.0,996.0,321.0,10701.0,7420.0,2854.0,857.0,164.0,14516.0
Cole Aldrich,Los Angeles Clippers,def,3768.0,5557.0,4295.0,6030.0,1073.0,349.0,149.0,47.0,2225.0,1174.0,378.0,61.0,0.0,2123.0
